date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:59	61824/61824	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:49:51%20GMT	https://www.w3schools.com/css/default.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/default.html	(from )
22:19:00	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
22:19:00	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/css/default.asp)
22:19:00	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/css/default.asp)
22:19:02	912/912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7000f6-390-584231f68f584%22	http://static.h-bid.com/sncmp/sncmp_stub.min.js	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/static.h-bid.com/sncmp/sncmp_stub.min.js	(from https://www.w3schools.com/css/default.asp)
22:19:03	177/177	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2020:18:37%20GMT	http://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/images/w3schoolscom_gray.5.delayed	(from https://www.w3schools.com/css/default.asp)
22:19:03	1860/1860	---M--	200	added ('OK')	image/gif	etag:%2221638653cbacf1:0%22	https://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/images/w3schoolscom_gray.gif	(from https://www.w3schools.com/css/default.asp)
22:19:03	95003/95003	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Oct%202019%2023:01:28%20GMT	http://snigelweb-com.videoplayerhub.com/videoloader.js	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/snigelweb-com.videoplayerhub.com/videoloader.js	(from https://www.w3schools.com/css/default.asp)
22:19:03	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2020:18:38%20GMT	http://www.w3schools.com/lib/cmp.css	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/lib/cmp.7.delayed	(from https://www.w3schools.com/css/default.asp)
22:19:04	9866/9866	---M-Z	200	added ('OK')	text/css	etag:%223b67739dfdbd41:0%22	https://www.w3schools.com/lib/cmp.css	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/lib/cmp.css	(from https://www.w3schools.com/css/default.asp)
22:19:04	77020/77020	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c680271-12cdc-59374c3e58905%22	http://static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min.js?20190327	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min8a4b.js	(from https://www.w3schools.com/css/default.asp)
22:19:04	63050/63050	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2014:21:17%20GMT	https://www.w3schools.com/css/css_exercises.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_exercises.html	(from https://www.w3schools.com/css/default.asp)
22:19:05	59783/59783	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:23:15%20GMT	https://www.w3schools.com/css/css_quiz.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_quiz.html	(from https://www.w3schools.com/css/default.asp)
22:19:05	63193/63193	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:19:48%20GMT	https://www.w3schools.com/css/css_intro.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_intro.html	(from https://www.w3schools.com/css/default.asp)
22:19:05	59021/59021	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:31:58%20GMT	https://www.w3schools.com/css/css_syntax.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_syntax.html	(from https://www.w3schools.com/css/default.asp)
22:19:06	68528/68528	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:36:53%20GMT	https://www.w3schools.com/css/css_selectors.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_selectors.html	(from https://www.w3schools.com/css/default.asp)
22:19:06	65075/65075	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:27:36%20GMT	https://www.w3schools.com/css/css_howto.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_howto.html	(from https://www.w3schools.com/css/default.asp)
22:19:06	81522/81522	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:32:22%20GMT	https://www.w3schools.com/css/css_colors.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_colors.html	(from https://www.w3schools.com/css/default.asp)
22:19:07	68519/68519	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2015:59:41%20GMT	https://www.w3schools.com/css/css_background.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_background.html	(from https://www.w3schools.com/css/default.asp)
22:19:07	74836/74836	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:28:50%20GMT	https://www.w3schools.com/css/css_border.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_border.html	(from https://www.w3schools.com/css/default.asp)
22:19:08	66248/66248	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:22:30%20GMT	https://www.w3schools.com/css/css_margin.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_margin.html	(from https://www.w3schools.com/css/default.asp)
22:19:08	66330/66330	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:36:53%20GMT	https://www.w3schools.com/css/css_padding.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_padding.html	(from https://www.w3schools.com/css/default.asp)
22:19:08	64570/64570	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:35:52%20GMT	https://www.w3schools.com/css/css_dimension.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_dimension.html	(from https://www.w3schools.com/css/default.asp)
22:19:09	63823/63823	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:44:20%20GMT	https://www.w3schools.com/css/css_boxmodel.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_boxmodel.html	(from https://www.w3schools.com/css/default.asp)
22:19:09	71879/71879	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:19:00%20GMT	https://www.w3schools.com/css/css_outline.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_outline.html	(from https://www.w3schools.com/css/default.asp)
22:19:09	73022/73022	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:53:28%20GMT	https://www.w3schools.com/css/css_text.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_text.html	(from https://www.w3schools.com/css/default.asp)
22:19:10	69266/69266	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:20:24%20GMT	https://www.w3schools.com/css/css_font.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_font.html	(from https://www.w3schools.com/css/default.asp)
22:19:10	63396/63396	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:17:25%20GMT	https://www.w3schools.com/css/css_icons.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_icons.html	(from https://www.w3schools.com/css/default.asp)
22:19:11	64006/64006	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:43:25%20GMT	https://www.w3schools.com/css/css_link.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_link.html	(from https://www.w3schools.com/css/default.asp)
22:19:11	67940/67940	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:49:45%20GMT	https://www.w3schools.com/css/css_list.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_list.html	(from https://www.w3schools.com/css/default.asp)
22:19:11	73774/73774	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:46:51%20GMT	https://www.w3schools.com/css/css_table.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_table.html	(from https://www.w3schools.com/css/default.asp)
22:19:14	69710/69710	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:42:00%20GMT	https://www.w3schools.com/css/css_display_visibility.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_display_visibility.html	(from https://www.w3schools.com/css/default.asp)
22:19:14	59533/59533	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:34:11%20GMT	https://www.w3schools.com/css/css_max-width.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_max-width.html	(from https://www.w3schools.com/css/default.asp)
22:19:14	70106/70106	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:05:45%20GMT	https://www.w3schools.com/css/css_positioning.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_positioning.html	(from https://www.w3schools.com/css/default.asp)
22:19:15	66296/66296	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:04:02%20GMT	https://www.w3schools.com/css/css_overflow.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_overflow.html	(from https://www.w3schools.com/css/default.asp)
22:19:15	75645/75645	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:36:43%20GMT	https://www.w3schools.com/css/css_float.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_float.html	(from https://www.w3schools.com/css/default.asp)
22:19:17	61950/61950	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:32:08%20GMT	https://www.w3schools.com/css/css_inline-block.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_inline-block.html	(from https://www.w3schools.com/css/default.asp)
22:19:17	69854/69854	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:01:54%20GMT	https://www.w3schools.com/css/css_align.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_align.html	(from https://www.w3schools.com/css/default.asp)
22:19:17	63181/63181	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2019:30:39%20GMT	https://www.w3schools.com/css/css_combinators.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_combinators.html	(from https://www.w3schools.com/css/default.asp)
22:19:17	73266/73266	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2013:29:16%20GMT	https://www.w3schools.com/css/css_pseudo_classes.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_pseudo_classes.html	(from https://www.w3schools.com/css/default.asp)
22:19:18	73275/73275	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2016:21:49%20GMT	https://www.w3schools.com/css/css_pseudo_elements.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_pseudo_elements.html	(from https://www.w3schools.com/css/default.asp)
22:19:18	67616/67616	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2018:18:09%20GMT	https://www.w3schools.com/css/css_image_transparency.asp	C:/Users/11802988/Desktop/w3schools%20CSS%20offline/w3schools%20CSS%20offline/www.w3schools.com/css/css_image_transparency.html	(from https://www.w3schools.com/css/default.asp)
